Latitude	Longitude	B02	B03	B04	B05	B06	B08	B11	B12	clase
4.993776508126718	-73.8170228452949	0.0159	0.0192	0.0126	0.0135	0.0121	0.0048	0.009	0.0082	agua
4.99377505030445	-73.81621442046021	0.0144	0.0219	0.0118	0.0134	0.0102	0.0162	0.0069	0.0081	agua
4.993773591486837	-73.81540599586458	0.065	0.0694	0.0495	0.047	0.0404	0.0027	0.0405	0.0222	agua
4.992980696082614	-73.82349169176591	0.0239	0.0418	0.0187	0.0196	0.0073	0.0056	0.0016	0.0016	agua
4.992977795839639	-73.82187484049788	0.0237	0.0417	0.0187	0.0192	0.0075	0.0057	0.0017	0.0017	agua
4.9929763442253625	-73.82106641522067	0.0237	0.0415	0.0187	0.019	0.0081	0.0061	0.0016	0.0013	agua
4.992974891615894	-73.82025799018153	0.0239	0.0431	0.0189	0.0199	0.0072	0.0063	0.0022	0.002	agua
4.9929734380112345	-73.81944956538061	0.0195	0.0316	0.0136	0.0139	0.0069	0.0067	0.0022	0.0027	agua
4.992971983411386	-73.81864114081812	0.0179	0.029	0.0134	0.0142	0.007	0.0076	0.0025	0.0025	agua
4.992970527816351	-73.81783271649418	0.0117	0.0146	0.0072	0.0074	0.005	0.0054	0.003	0.0029	agua
4.992969071226131	-73.81702429240896	0.0121	0.0157	0.0086	0.0101	0.0083	0.0098	0.0063	0.006	agua
4.992967613640726	-73.81621586856265	0.0136	0.0205	0.0096	0.0099	0.0055	0.0036	0.0039	0.0046	agua
4.992966155060136	-73.81540744495538	0.0345	0.0548	0.0431	0.0503	0.0495	0.0211	0.0439	0.0413	agua
4.9921747056660015	-73.82430155573957	0.0244	0.0425	0.0192	0.0197	0.0073	0.007	0.0021	0.0024	agua
4.992173257272714	-73.8234931307373	0.024	0.0418	0.0185	0.0189	0.0073	0.0051	0.0023	0.0011	agua
4.992170357501042	-73.82187628144574	0.023	0.0412	0.0185	0.0187	0.0072	0.0053	0.0021	0.0017	agua
4.9921689061226555	-73.82106785715672	0.0234	0.0407	0.018	0.0192	0.0071	0.006	0.0017	0.0014	agua
4.992167453749242	-73.82025943310579	0.0218	0.038	0.0169	0.0171	0.0073	0.0065	0.0019	0.0019	agua
4.992166000380799	-73.8194510092931	0.0199	0.0343	0.015	0.0155	0.0068	0.0065	0.0018	0.0018	agua
4.992164546017327	-73.8186425857188	0.0108	0.0124	0.0054	0.0056	0.0036	0.0025	0.002	0.0031	agua
4.992163090658832	-73.81783416238308	0.0126	0.0143	0.007	0.0069	0.0042	0.0066	0.0029	0.0032	agua
4.992161634305312	-73.81702573928608	0.014	0.0191	0.0093	0.0097	0.0056	0.0046	0.0035	0.0036	agua
4.9921601769567685	-73.81621731642795	0.0153	0.0218	0.0105	0.0103	0.0063	0.005	0.0045	0.0047	agua
4.991367266600471	-73.82430299348727	0.0235	0.0407	0.019	0.0195	0.0076	0.0059	0.0022	0.002	agua
4.991365818442592	-73.82349456947307	0.0234	0.0412	0.0184	0.0191	0.0082	0.0054	0.0024	0.0019	agua
4.991364369289839	-73.82268614569647	0.0238	0.0427	0.0204	0.0221	0.0105	0.0059	0.0042	0.0043	agua
4.991362919142215	-73.8218777221576	0.0233	0.0411	0.0184	0.018	0.0073	0.0053	0.0017	0.0019	agua
4.991361467999722	-73.82106929885664	0.023	0.0416	0.0183	0.0188	0.0065	0.0056	0.0017	0.0015	agua
4.991360015862361	-73.82026087579376	0.0208	0.0358	0.0156	0.016	0.0064	0.0057	0.0016	0.0016	agua
4.991358562730134	-73.81945245296913	0.0171	0.028	0.0124	0.0124	0.0049	0.0053	0.0016	0.0019	agua
4.99135710860304	-73.81864403038288	0.0097	0.0112	0.005	0.0055	0.0027	0.003	0.0021	0.0022	agua
4.991355653481083	-73.8178356080352	0.0106	0.0126	0.0066	0.0073	0.0048	0.0036	0.0035	0.0037	agua
4.991354197364263	-73.81702718592624	0.0199	0.0326	0.0154	0.0154	0.0072	0.0052	0.0038	0.0039	agua
4.991352740252583	-73.81621876405617	0.0179	0.0275	0.0128	0.0132	0.0069	0.0064	0.0051	0.0051	agua
4.9905598275147165	-73.82430443099946	0.0241	0.0406	0.0184	0.0185	0.0078	0.0053	0.0019	0.0019	agua
4.990558379592243	-73.82349600797318	0.0269	0.0442	0.022	0.0231	0.0116	0.0088	0.0061	0.0043	agua
4.9905569306750595	-73.82268758518445	0.0347	0.0508	0.0256	0.0263	0.0139	0.0178	0.0067	0.0041	agua
4.990555480763166	-73.8218791626335	0.0232	0.0422	0.0186	0.0191	0.0074	0.0084	0.0014	0.0016	agua
4.990554029856564	-73.82107074032044	0.0215	0.0382	0.0172	0.0182	0.0075	0.0056	0.0015	0.002	agua
4.990552577955256	-73.82026231824544	0.0167	0.028	0.0118	0.0126	0.0053	0.0049	0.0017	0.0012	agua
4.990551125059243	-73.81945389640869	0.0114	0.0162	0.0065	0.0069	0.0036	0.005	0.0015	0.0017	agua
4.990549671168526	-73.81864547481032	0.0083	0.011	0.0046	0.0048	0.0028	0.003	0.0017	0.002	agua
4.9905482162831065	-73.81783705345053	0.0092	0.0118	0.0049	0.0054	0.0028	0.0027	0.0022	0.0019	agua
4.990546760402986	-73.81702863232947	0.0168	0.0267	0.0125	0.0125	0.0055	0.0041	0.0038	0.0053	agua
4.989752388408746	-73.82430586827618	0.0234	0.0406	0.0183	0.0188	0.0072	0.0064	0.0017	0.0021	agua
4.98975094072168	-73.82349744623764	0.0246	0.0421	0.0197	0.0212	0.0093	0.0033	0.0038	0.0038	agua
4.989749492040063	-73.82268902443664	0.0282	0.0475	0.0265	0.0285	0.0192	0.0176	0.0114	0.0098	agua
4.989748042363897	-73.8218806028734	0.0238	0.0425	0.0187	0.0198	0.0078	0.0077	0.0017	0.0013	agua
4.989746591693186	-73.82107218154808	0.0227	0.0397	0.0176	0.0185	0.007	0.0061	0.0014	0.0018	agua
4.989745140027931	-73.82026376046082	0.0191	0.0327	0.0142	0.014	0.0052	0.0045	0.0015	0.0012	agua
4.989743687368132	-73.81945533961179	0.0135	0.0215	0.0091	0.0092	0.0042	0.0048	0.0013	0.0015	agua
4.989742233713792	-73.81864691900115	0.0098	0.0135	0.0055	0.0058	0.0022	0.0028	0.0015	0.0025	agua
4.989740779064911	-73.81783849862909	0.0093	0.0125	0.005	0.0053	0.0026	0.0024	0.0017	0.0021	agua
4.98973932342149	-73.81703007849573	0.0122	0.0182	0.0085	0.0084	0.0043	0.0034	0.0034	0.0049	agua
4.988946395739837	-73.82511572660583	0.0235	0.0397	0.0181	0.0185	0.0068	0.0057	0.002	0.0018	agua
4.988944949282562	-73.82430730531743	0.023	0.0398	0.0178	0.0182	0.0062	0.0059	0.0018	0.0017	agua
4.988943501830899	-73.82349888426644	0.0228	0.0398	0.0183	0.0192	0.0077	0.0061	0.0016	0.0009	agua
4.988942053384849	-73.82269046345303	0.0233	0.0407	0.0185	0.0193	0.0079	0.0056	0.0022	0.0013	agua
4.988940603944412	-73.82188204287736	0.0261	0.0448	0.0223	0.0235	0.0116	0.0067	0.0047	0.0036	agua
4.988939153509592	-73.82107362253959	0.0227	0.0396	0.0191	0.0199	0.0091	0.0123	0.0037	0.0034	agua
4.988937702080388	-73.82026520243991	0.0168	0.0272	0.0112	0.0118	0.004	0.004	0.0013	0.0015	agua
4.988936249656803	-73.81945678257844	0.0119	0.0172	0.0072	0.0079	0.0037	0.0048	0.0012	0.0015	agua
4.988934796238837	-73.81864836295537	0.0111	0.0151	0.0059	0.0065	0.0023	0.0029	0.0013	0.0019	agua
4.988933341826493	-73.81783994357086	0.0093	0.0123	0.0051	0.0051	0.0022	0.0022	0.0013	0.0014	agua
4.988931886419771	-73.81703152442508	0.0103	0.0157	0.006	0.0066	0.0027	0.0019	0.0026	0.0024	agua
4.988138956358197	-73.82511716242418	0.0229	0.0399	0.0181	0.0185	0.0069	0.0058	0.002	0.0019	agua
4.9881375101361645	-73.8243087421232	0.0228	0.0402	0.018	0.0186	0.0071	0.0057	0.0019	0.0014	agua
4.988136062919907	-73.8235003220596	0.0229	0.0401	0.018	0.0189	0.0077	0.0064	0.0019	0.0024	agua
4.9881346147094225	-73.8226919022336	0.0232	0.0401	0.0181	0.0189	0.0077	0.0063	0.002	0.002	agua
4.988133165504714	-73.82188348264533	0.0231	0.041	0.0188	0.0192	0.0077	0.0061	0.002	0.0022	agua
4.988131715305784	-73.82107506329498	0.0234	0.0416	0.0186	0.0191	0.0076	0.0066	0.0024	0.0017	agua
4.988130264112631	-73.8202666441827	0.018	0.0306	0.0132	0.013	0.0039	0.0047	0.0014	0.0018	agua
4.988128811925259	-73.81945822530864	0.0101	0.0138	0.0057	0.0061	0.003	0.0042	0.0014	0.0016	agua
4.988127358743668	-73.81864980667297	0.0098	0.0127	0.005	0.0055	0.0022	0.0024	0.0013	0.0017	agua
4.988125904567861	-73.81784138827585	0.0093	0.0122	0.0046	0.0051	0.0015	0.0023	0.0014	0.0018	agua
4.987331516956348	-73.8251185980072	0.0227	0.0409	0.0187	0.0189	0.0071	0.0056	0.0016	0.0016	agua
4.98733007096956	-73.82431017869345	0.0229	0.0405	0.0185	0.0189	0.0074	0.0053	0.0016	0.0015	agua
4.987328623988704	-73.82350175961712	0.0228	0.0403	0.0183	0.0189	0.0075	0.0058	0.0016	0.0017	agua
4.987327176013786	-73.82269334077837	0.0231	0.0399	0.0179	0.0188	0.0077	0.0059	0.0016	0.0014	agua
4.987325727044806	-73.82188492217735	0.0231	0.0416	0.0185	0.0194	0.0074	0.0066	0.0015	0.0019	agua
4.987324277081765	-73.82107650381424	0.0231	0.0415	0.0186	0.0194	0.0075	0.0064	0.0016	0.0022	agua
4.987322826124661	-73.8202680856892	0.0144	0.0215	0.0092	0.0086	0.0044	0.0062	0.0014	0.0015	agua
4.987321374173502	-73.81945966780238	0.0133	0.0193	0.008	0.0083	0.003	0.0032	0.0011	0.0012	agua
4.987319921228286	-73.81865125015395	0.0101	0.0154	0.0057	0.0064	0.0022	0.0017	0.0013	0.0016	agua
4.987318467289014	-73.81784283274408	0.0098	0.0151	0.0056	0.0057	0.0016	0.0014	0.0015	0.0021	agua
4.986525522291939	-73.8259284519188	0.0238	0.0415	0.0189	0.0198	0.0073	0.0057	0.002	0.0013	agua
4.9865240775342965	-73.8251200333549	0.0234	0.0415	0.019	0.0194	0.0073	0.0062	0.0017	0.0016	agua
4.98652263178275	-73.82431161502825	0.0229	0.0411	0.0187	0.0193	0.0074	0.0058	0.0016	0.0016	agua
4.986521185037297	-73.823503196939	0.0229	0.0405	0.0183	0.0194	0.0069	0.006	0.0015	0.0018	agua
