Latitude	Longitude	B02	B03	B04	B05	B06	B08	B11	B12	clase
4.959265250245793	-73.93996167601486	0.0587	0.0873	0.0984	0.1395	0.1951	0.2417	0.2742	0.1839	vegetacion
4.95926395285974	-73.93915325910363	0.0633	0.0896	0.1085	0.1431	0.1961	0.2062	0.2697	0.1997	vegetacion
4.9584590745443045	-73.9407713798946	0.1309	0.1415	0.1288	0.156	0.2288	0.279	0.1877	0.1196	vegetacion
4.958457778358945	-73.93996296375096	0.1188	0.1349	0.1336	0.1656	0.2306	0.2892	0.2495	0.1726	vegetacion
4.95845648118515	-73.93915454782136	0.1286	0.1552	0.1965	0.2231	0.25	0.2125	0.2975	0.2715	vegetacion
4.958455183022917	-73.93834613210595	0.1122	0.133	0.1493	0.1736	0.2067	0.2389	0.2621	0.2295	vegetacion
4.957651602425348	-73.94077266643696	0.1018	0.11	0.1033	0.1368	0.2378	0.3376	0.2039	0.1236	vegetacion
4.957650306452086	-73.93996425127477	0.0556	0.0887	0.1041	0.1509	0.2263	0.2978	0.3084	0.2068	vegetacion
4.957649009490548	-73.93915583632662	0.0492	0.0769	0.0891	0.1272	0.1877	0.2037	0.2799	0.1924	vegetacion
4.957647711540735	-73.93834742159267	0.0559	0.0828	0.104	0.1373	0.1713	0.1919	0.3143	0.2332	vegetacion
4.957646412602646	-73.93753900707308	0.07	0.0953	0.1151	0.1433	0.177	0.2006	0.2816	0.2202	vegetacion
4.935672447812858	-73.83491028196624	0.0856	0.1124	0.1598	0.1815	0.198	0.2406	0.2831	0.265	urbano
